Player,Age,Tm,MP,TRB,AST,STL,BLK,PS/G,PER,TS%,USG%,Year,box,W/L%,playoffs,Share,got_votes,gp_pct
Jared Jeffries,23,WAS,26.1,4.9,2.0,0.9,0.5,6.8,11.2,0.513,13.6,2005,8.3,0.5489999999999999,1,0.0,0,0.9390243902439024
Anthony Johnson,30,IND,27.7,2.8,4.8,0.9,0.2,8.4,14.3,0.526,16.5,2005,8.7,0.537,1,0.0,0,0.7682926829268293
Joe Johnson,23,PHO,39.5,5.1,3.5,1.0,0.3,17.1,15.1,0.556,19.0,2005,9.9,0.7559999999999999,1,0.0,0,1.0
Damon Jones,28,MIA,31.4,2.8,4.3,0.5,0.1,11.6,15.5,0.625,15.6,2005,7.699999999999999,0.72,1,0.0,0,1.0
Eddie Jones,33,MIA,35.5,5.1,2.7,1.1,0.5,12.7,13.6,0.556,16.6,2005,9.4,0.72,1,0.0,0,0.975609756097561
Andre Miller,28,DEN,34.8,4.1,6.9,1.5,0.1,13.6,16.5,0.541,19.5,2005,12.6,0.598,1,0.0,0,1.0
Brad Miller,28,SAC,37.3,9.3,3.9,1.2,1.2,15.6,20.7,0.596,17.4,2005,15.6,0.61,1,0.0,0,0.6829268292682927
Mike Miller,24,MEM,30.0,3.9,2.9,0.7,0.3,13.4,16.7,0.614,19.8,2005,7.8,0.5489999999999999,1,0.0,0,0.926829268292683
Reggie Miller,39,IND,31.9,2.4,2.2,0.8,0.1,14.8,16.6,0.5820000000000001,20.8,2005,5.499999999999999,0.537,1,0.0,0,0.8048780487804879
Michael Redd,25,MIL,38.0,4.2,2.3,0.8,0.1,23.0,18.3,0.536,27.8,2005,7.3999999999999995,0.366,0,0.0,0,0.9146341463414634
Jason Richardson,24,GSW,37.8,5.9,3.9,1.5,0.4,21.7,19.0,0.518,27.1,2005,11.700000000000001,0.415,0,0.0,0,0.8780487804878049
Quentin Richardson,24,PHO,35.9,6.1,2.0,1.2,0.3,14.9,13.6,0.522,18.9,2005,9.6,0.7559999999999999,1,0.0,0,0.9634146341463414
Luke Ridnour,23,SEA,31.4,2.5,5.9,1.1,0.3,10.0,14.6,0.504,17.4,2005,9.8,0.634,1,0.0,0,1.0
Jalen Rose,32,TOR,33.5,3.4,2.6,0.8,0.1,18.5,16.6,0.562,25.5,2005,6.8999999999999995,0.402,0,0.0,0,0.9878048780487805
Bobby Simmons,24,LAC,37.3,5.9,2.7,1.4,0.2,16.4,16.1,0.54,21.0,2005,10.200000000000001,0.451,0,0.0,0,0.9146341463414634
Joe Smith,29,MIL,30.6,7.3,0.9,0.6,0.5,11.0,15.0,0.564,16.1,2005,9.299999999999999,0.366,0,0.0,0,0.9024390243902439
Josh Smith,19,ATL,27.7,6.2,1.7,0.8,1.9,9.7,15.4,0.506,18.4,2005,10.600000000000001,0.159,0,0.0,0,0.9024390243902439
Latrell Sprewell,34,MIN,30.6,3.2,2.2,0.7,0.3,12.8,12.1,0.489,22.2,2005,6.4,0.537,0,0.0,0,0.975609756097561
Jerry Stackhouse,30,DAL,28.9,3.3,2.3,0.9,0.2,14.9,15.9,0.525,24.9,2005,6.7,0.7070000000000001,1,0.0,0,0.6829268292682927
Peja Stojakovic,27,SAC,38.4,4.3,2.1,1.2,0.2,20.1,17.3,0.584,21.7,2005,7.800000000000001,0.61,1,0.0,0,0.8048780487804879
Damon Stoudamire,31,POR,34.1,3.8,5.7,1.1,0.0,15.8,16.6,0.51,23.6,2005,10.6,0.32899999999999996,0,0.0,0,0.9878048780487805
Bob Sura,31,HOU,31.5,5.5,5.2,1.1,0.1,10.3,14.4,0.5329999999999999,18.0,2005,11.899999999999999,0.622,1,0.0,0,0.7439024390243902
Wally Szczerbiak,27,MIN,31.6,3.7,2.4,0.5,0.2,15.5,17.1,0.595,21.5,2005,6.8,0.537,0,0.0,0,0.9878048780487805
Jason Terry,27,DAL,30.0,2.4,5.4,1.4,0.2,12.4,18.4,0.606,18.0,2005,9.4,0.7070000000000001,1,0.0,0,0.975609756097561
Theo Ratliff,31,POR,27.5,5.3,0.5,0.4,2.5,4.8,10.1,0.5,9.6,2005,8.7,0.32899999999999996,0,0.0,0,0.7682926829268293
Zach Randolph,23,POR,34.8,9.6,1.9,0.7,0.4,18.9,18.6,0.511,27.7,2005,12.6,0.32899999999999996,0,0.0,0,0.5609756097560976
Vladimir Radmanovic,24,SEA,29.5,4.6,1.4,0.9,0.5,11.8,13.7,0.5329999999999999,19.3,2005,7.4,0.634,1,0.0,0,0.7682926829268293
Emeka Okafor,22,CHA,35.6,10.9,0.9,0.8,1.7,15.1,16.3,0.479,21.8,2005,14.3,0.22,0,0.0,0,0.8902439024390244
Yao Ming,24,HOU,30.6,8.4,0.8,0.4,2.0,18.3,23.2,0.614,26.8,2005,11.600000000000001,0.622,1,0.0,0,0.975609756097561
Troy Murphy,24,GSW,33.9,10.8,1.4,0.8,0.5,15.4,16.8,0.495,22.2,2005,13.500000000000002,0.415,0,0.0,0,0.8536585365853658
Lee Nailon,29,NOH,29.7,4.4,1.6,0.5,0.2,14.2,14.5,0.511,24.2,2005,6.7,0.22,0,0.0,0,0.8292682926829268
Rasho Nesterovic,28,SAS,25.5,6.6,1.0,0.4,1.7,5.9,12.0,0.46299999999999997,13.5,2005,9.7,0.72,1,0.0,0,0.8536585365853658
Jermaine O'Neal,26,IND,34.8,8.8,1.9,0.6,2.0,24.3,22.9,0.52,36.2,2005,13.3,0.537,1,0.0,0,0.5365853658536586
